"p_value","log10FDR","distal_fold_change","proximal_fold_change","gene","Change"
"NM_000126",0.210103324300965,0.677567076036961,-0.0342457979113044,0.0342457979113045,"ETFA","No Change"
"NM_000127",0.435564580870162,0.360947443328691,0.0309833020477863,-0.0309833020477862,"EXT1","No Change"
"NM_000132",0.0830264256366159,1.08078365844804,0.185042694913912,-0.185042694913912,"F8","No Change"
"NM_000135",0.0946966762139404,1.02366526415699,-0.207324973247506,0.207324973247506,"FANCA","No Change"
"NM_000137",0.611343552703883,0.213714663550639,0.0413069741569138,-0.0413069741569136,"FAH","No Change"
"NM_000138",0.968180381900763,0.0140437216523317,-0.00852407230653852,0.0085240723065385,"FBN1","No Change"
"NM_000140",0.0166164756185509,1.77946108534898,-0.241715684510323,0.241715684510323,"FECH","Upregulated in Normoxic"
"NM_000143",0.270068672983075,0.568525789524616,-0.121344820997251,0.121344820997251,"FH","No Change"
"NM_000144",0.000785332920230811,3.10494619705306,-0.473931188332412,0.473931188332412,"FXN","Upregulated in Normoxic"
"NM_000146",0.904859242718485,0.0434189731318293,-0.00167657780738352,0.00167657780738357,"FTL","No Change"
"NM_000147",0.855758659735115,0.0676486973830199,-0.0103768604437899,0.01037686044379,"FUCA1","No Change"
"NM_000148",0.0124739579941306,1.90399572276268,-0.370634892655209,0.370634892655209,"FUT1","Upregulated in Normoxic"
"NM_000152",0.68182084196354,0.166329727349703,0.0145403520173719,-0.0145403520173718,"GAA","No Change"
"NM_000153",0.662078995767353,0.179090189745975,0.0356823832940854,-0.0356823832940852,"GALC","No Change"
"NM_000155",0.0734455088940264,1.13403475565555,-0.115751885681763,0.115751885681763,"GALT","No Change"
"NM_000156",0.197318689746316,0.704831777042422,0.0857552340730097,-0.0857552340730098,"GAMT","No Change"
"NM_000157",0.025680390116369,1.59039838309152,-0.0920715281850653,0.0920715281850652,"GBA","Upregulated in Normoxic"
"NM_000158",0.379392015732508,0.420911813035654,0.0465425859370302,-0.0465425859370302,"GBE1","No Change"
"NM_000159",0.588732784256211,0.23008177933115,-0.0317230896642705,0.0317230896642705,"GCDH","No Change"
"NM_000161",0.0639876352358071,1.19390393957332,-0.150038202579916,0.150038202579916,"GCH1","No Change"
"NM_000165",0.129856194927615,0.886537327061222,0.175487371239735,-0.175487371239735,"GJA1","No Change"
"NM_000168",0.335276240845121,0.474597221505437,0.0914246650603615,-0.0914246650603615,"GLI3","No Change"
"NM_000169",0.276619178366017,0.55811771298378,-0.0431001063190686,0.0431001063190686,"GLA","No Change"
"NM_000170",0.624230918123303,0.204654724555975,-0.073849029887265,0.0738490298872649,"GLDC","No Change"
"NM_000173",0.824805215336444,0.0836486016228449,-0.0216709310298633,0.0216709310298632,"GP1BA","No Change"
"NM_000178",0.212375163281666,0.672896274221547,-0.0520034791712459,0.0520034791712461,"GSS","No Change"
"NM_000181",0.819252623619884,0.0865821591347064,-0.0103827601393819,0.0103827601393818,"GUSB","No Change"
"NM_000182",0.334721604955721,0.475316254746406,0.0363532945259082,-0.0363532945259081,"HADHA","No Change"
"NM_000183",0.383618072763621,0.416100940821957,0.0328196416963176,-0.0328196416963174,"HADHB","No Change"
"NM_000184",0.0952531657350999,1.02112058165299,-0.719749936362508,0.719749936362508,"HBG2","No Change"
"NM_000185",0.0578339793211177,1.23781692462972,0.762787607488238,-0.762787607488238,"SERPIND1","No Change"
"NM_000186",0.124378392641898,0.905255059930154,0.348053036349749,-0.348053036349749,"CFH","No Change"
"NM_000187",0.0103051827525332,1.98694430202034,-1.5548811614833,1.5548811614833,"HGD","Upregulated in Normoxic"
"NM_000189",0.841303910716254,0.0750470923056634,0.00663576190123975,-0.00663576190123978,"HK2","No Change"
"NM_000190",0.519770536735236,0.284188342180067,-0.0275615076362416,0.0275615076362417,"HMBS","No Change"
"NM_000193",0.530351465449287,0.275436226782781,0.263034405833794,-0.263034405833794,"SHH","No Change"
"NM_000194",0.218403979317828,0.660739453055073,-0.0380680408335196,0.0380680408335197,"HPRT1","No Change"
"NM_000195",0.062032191528807,1.20738287541967,-0.260260606926891,0.260260606926891,"HPS1","No Change"
"NM_000196",0.0929041371238198,1.03196494596287,-0.268350231196973,0.268350231196973,"HSD11B2","No Change"
"NM_000201",0.155395905914188,0.808560427377437,0.121410173173677,-0.121410173173677,"ICAM1","No Change"
