Buffa,Winter,Ragnum
TCGA.05.4389.01A.01R.1206.07,-8,-5,-2
TCGA.44.5643.01A.01R.1628.07,-6,-3, 6
TCGA.50.6673.01A.11R.1949.07,-22,-15,-18
TCGA.MP.A4T4.01A.11R.A262.07,-14,-19, -6
TCGA.62.A46R.01A.11R.A24H.07,-26,-31,-20
TCGA.62.A470.01A.11R.A24H.07,-20,-29,-10
TCGA.78.7536.01A.11R.2066.07, -8,-11, 22
TCGA.MN.A4N4.01A.12R.A24X.07,-14, -7,-16
TCGA.49.4510.01A.01R.1206.07,-14,-15,-18
TCGA.50.5072.01A.21R.1858.07,20,17,26
TCGA.67.3770.01A.01R.0946.07,-10,-15,-10
TCGA.97.8552.01A.11R.2403.07,-34,-33,-24
TCGA.MP.A4TC.01A.11R.A24X.07,10, 3,-2
TCGA.62.A46U.01A.11R.A24H.07,-22,-21,-14
TCGA.55.8094.01A.11R.2241.07,  4,-11,  4
TCGA.86.6562.01A.11R.1755.07,-20, -9, -6
TCGA.97.A4M2.01A.12R.A24X.07,-42,-51,-22
TCGA.44.6775.01A.11R.1858.07,-26,-23, -8
TCGA.69.7765.01A.11R.2170.07,-20,-25, -8
TCGA.38.4627.01A.01R.1206.07, -6, -5,-10
TCGA.55.A48X.01A.11R.A24H.07,-42,-41,-20
TCGA.55.1596.01A.01R.0946.07, 4,-3,16
TCGA.97.A4M7.01A.11R.A24X.07,-38,-45,-22
TCGA.78.7149.01A.11R.2039.07,-32,-23,-18
TCGA.75.6207.01A.11R.1755.07,  0, -9,-12
TCGA.44.8117.01A.11R.2241.07,-22,-13, -8
TCGA.86.8669.01A.11R.2403.07,-26,-41,-14
TCGA.55.A4DF.01A.11R.A24H.07,10,11,16
TCGA.75.7031.01A.11R.1949.07,  2,-13,-14
TCGA.44.3396.01A.01R.1206.07, 2,11,-6
TCGA.38.4632.01A.01R.1755.07,20, 7, 8
TCGA.55.8507.01A.11R.2403.07,-18, -7,-12
TCGA.91.A4BC.01A.11R.A24H.07,-20,-35,  6
TCGA.78.7154.01A.11R.2039.07, 2,-3,10
TCGA.91.6830.01A.11R.1949.07,-12,-13,-16
TCGA.55.6978.01A.11R.1949.07,0,5,4
TCGA.49.AAR2.01A.11R.A39D.07, -6,-13, -6
TCGA.71.6725.01A.11R.1858.07,-18,-23,-22
TCGA.44.7660.01A.11R.2066.07,12,13, 8
TCGA.69.A59K.01A.11R.A262.07,  4,-21, -2
TCGA.78.7633.01A.11R.2066.07,-40,-31,-16
TCGA.95.8039.01A.11R.2241.07,-32,-27,-16
TCGA.73.7498.01A.12R.2187.07,-40,-33,-22
TCGA.35.4123.01A.01R.1107.07,28,23, 2
TCGA.64.1679.01A.21R.2066.07,10,19,-2
TCGA.44.2665.01A.01R.0946.07,-16,-11,-16
TCGA.55.6975.01A.11R.1949.07, 2, 3,10
TCGA.78.8662.01A.11R.2403.07, 2,-1,-4
TCGA.44.A47B.01A.11R.A24H.07,-32,-27,-12
TCGA.73.7499.01A.11R.2187.07, 4,-9, 6
TCGA.49.6761.01A.31R.1949.07, 8, 9,-4
TCGA.55.8619.01A.11R.2403.07,-34,-43,-20
TCGA.67.3773.01A.01R.0946.07,-12,-31,-14
TCGA.53.A4EZ.01A.12R.A24X.07, -4,-13, 12
TCGA.50.5933.01A.11R.1755.07,14, 3,-6
TCGA.73.4659.01A.01R.1206.07, 2,-5,-8
TCGA.97.7553.01A.21R.2039.07,-40,-43,-18
TCGA.55.7728.01A.11R.2187.07,-28,-35,-22
TCGA.78.8648.01A.11R.2403.07,-30,-45,-16
TCGA.05.4426.01A.01R.1206.07, 6,11,-6
TCGA.05.4424.01A.22R.1858.07,-28,-27, -2
TCGA.55.6642.01A.11R.1858.07,-24,-19,-12
TCGA.55.A48Z.01A.12R.A24X.07, 0,-5,-4
TCGA.86.7714.01A.12R.2170.07,-40,-53,-20
TCGA.78.7143.01A.11R.2039.07,-18,-25, -6
TCGA.50.6591.01A.11R.1755.07,10,13,10
TCGA.44.2662.01A.01R.0946.07,18,17,12
TCGA.MP.A4SV.01A.11R.A24X.07,-6,-7, 0
TCGA.75.6214.01A.41R.1949.07, 4,19,-4
TCGA.50.5935.01A.11R.1755.07,-30,-27,-24
TCGA.99.8033.01A.11R.2241.07,12,13,16
TCGA.55.6981.01A.11R.1949.07,-14, -1,-16
TCGA.86.A4D0.01A.11R.A24H.07,  0,-21, 12
TCGA.55.8085.01A.11R.2241.07,10,-5, 0
TCGA.55.A494.01A.11R.A24X.07,-24,-27,-10
TCGA.44.6776.01A.11R.1858.07,-38,-31,-20
TCGA.50.5051.01A.21R.1858.07, -4,-13,-14
TCGA.44.8119.01A.11R.2241.07,2,9,8
TCGA.95.7947.01A.11R.2187.07,-30,-23, -4
TCGA.44.4112.01A.01R.1107.07, 8,13, 2
TCGA.MP.A4T9.01A.11R.A24X.07,-24,-21,-14
TCGA.80.5608.01A.31R.1949.07, -4,-11,-14
TCGA.50.5936.01A.11R.1628.07,-2, 7,-2
TCGA.78.7161.01A.11R.2039.07,-26,-21,-18
TCGA.97.7547.01A.11R.2039.07,-40,-39,-24
TCGA.97.8177.01A.11R.2287.07, -4, -5,-14
TCGA.55.8092.01A.11R.2241.07,-28,-29,-16
TCGA.49.AAR0.01A.21R.A39D.07,  2,-15,-16
TCGA.50.5932.01A.11R.1755.07,-34,-33,-20
TCGA.86.8076.01A.31R.2241.07,-32,-39,-16
TCGA.MP.A4SW.01A.21R.A24X.07,-14,-25,-14
TCGA.55.7573.01A.11R.2039.07,-34,-45,-22
TCGA.97.A4M3.01A.11R.A24X.07,-34,-21,-22
TCGA.86.A4P8.01A.11R.A24X.07,-36,-47,-22
TCGA.86.8280.01A.11R.2287.07,-24,-33,-12
TCGA.78.7537.01A.11R.2066.07,-36,-27,-22
TCGA.49.AARE.01A.11R.A41B.07, 0,-5, 0
TCGA.83.5908.01A.21R.2287.07,0,3,6
TCGA.78.7535.01A.11R.2066.07,-10, -9, -8
TCGA.55.8299.01A.11R.2287.07,-24,-25,-14
TCGA.05.4434.01A.01R.1206.07,16,27, 2
TCGA.49.AAR9.01A.21R.A41B.07,16,15,16
TCGA.55.7907.01A.11R.2170.07,-32,-27, -8
TCGA.91.6836.01A.21R.1858.07,10, 1,16
TCGA.44.6777.01A.11R.1858.07, -4,-19,-16
TCGA.67.6217.01A.11R.1755.07,-28,-33,-24
TCGA.L9.A50W.01A.12R.A39D.07,-32,-35,-16
TCGA.55.1595.01A.01R.0946.07,-30,-31, -4
TCGA.05.4430.01A.02R.1206.07,-10,  7,-12
